"id","title","publisher","authors","language","rights","issued_date","total_chapters","total_words","source_url","nft_ip_id","genre","img_url"
b88f1260-fba2-4480-9f20-9688d752519f,The Wonderful Wizard of Oz,Project Gutenberg,"Baum, L. Frank (Lyman Frank)",en,Public domain in the USA.,"1993-02-01",25,38211,https://www.gutenberg.org/cache/epub/55/pg55-images.html,"0x4c81d1fe390f23bde51653a43eb01b58693ae52c","fantasy,adventure",https://arweave.net/0HfVIMMO3Ml-Vv3DbWOuM7O22yTZzRp7bcrX5MaNhnk
"2e404f55-0ab2-4c91-9cd1-1324aac099da",A Christmas Carol in Prose; Being a Ghost Story of Christmas,Project Gutenberg,"Dickens, Charles",en,Public domain in the USA.,"2004-08-11",5,27695,https://www.gutenberg.org/cache/epub/46/pg46-images.html,"0x6a679938bebf89b02a7663b02fa02c78d782f52d","ghost story, holiday literature",https://arweave.net/tXizmIrUbp8iq0jqkGmTInSIQFh8n7yN8K2beWWNM10
f21b8ec8-9392-4e02-a081-91b892c44fb4,Peter Pan,Project Gutenberg,"Barrie, J. M. (James Matthew)",en,Public domain in the USA.,"2008-06-25",17,45382,https://www.gutenberg.org/cache/epub/16/pg16-images.html,"0xc1d870fCAC330295c28d00aeE0c0F7212b03bCf1","fantasy, adventure, children's literature",https://arweave.net/MOPj8lnAwiLJp-dw_q_l8OSiBSW0g9CL1joP1zc-Ag8
"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",The Jungle Book,Project Gutenberg,"Kipling, Rudyard",en,Public domain in the USA.,"2006-01-16",14,49865,https://www.gutenberg.org/cache/epub/236/pg236-images.html,"0x24EadF2f888d6b15902D45e9dE9605571Bc3803a","fantasy, adventure",https://arweave.net/cKMVq-7Fxl6Dhl91NRcPFnmtj-qiekM05IthT8XupUo
"87c992b2-b3a8-4494-ad1e-b47aaf072765",Dracula,Project Gutenberg,"Stoker, Bram",en,Public domain in the USA.,"1995-10-01",28,158413,https://www.gutenberg.org/cache/epub/345/pg345-images.html,"0xbadc88fd2781eebb77b35a6790b461c178cffb16",horror,https://arweave.net/MGzT4bxEELNLs7OPawBT4LZnnjXZousOGakPI1bW9pw
abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,The Age of Innocence,Project Gutenberg,"Wharton, Edith",en,Public domain in the USA.,"1996-05-01",35,99293,https://www.gutenberg.org/cache/epub/541/pg541-images.html,"0x385522c29b4cA53a8e660eEFFb867e0001122145","historical fiction, social drama",https://arweave.net/AFPA_oJwXr9u_xcMEVtSEtYGAD3SkeinFT8fpUXNEbQ
"6c71b213-b704-4b44-ae54-050f16d74c67",Adventures of Huckleberry Finn,Project Gutenberg,"Twain, Mark",en,Public domain in the USA.,"2004-06-29",43,107691,https://www.gutenberg.org/cache/epub/76/pg76-images.html,"0x982d40365eabd365c69bd283a937dc2bd97d7f58","adventure, bildungsroman(coming-of-age), satire",https://arweave.net/fdifooSB_Jp7cww5Kxp5fyfyk1UWeehXzpZQ-n83HGA
"52b20f63-7dbe-4770-a5be-855e0987bf65",Alice's Adventures in Wonderland,Project Gutenberg,"Carroll, Lewis",en,Public domain in the USA.,"2008-06-27",12,25616,https://www.gutenberg.org/cache/epub/11/pg11-images.html,"0x706486cc40445f43f54847deda550492969f2795","fantasy, nonsense literature",https://arweave.net/OIpH-MY1IsBhAZ8H-eI4F2OhWNawc2Nh3kvrLisniJ0
"487a0b3b-ad79-4eaf-ba90-a43378fb6031","Frankenstein; Or, The Modern Prometheus",Project Gutenberg,"Shelley, Mary Wollstonecraft",en,Public domain in the USA.,"1993-10-01",28,74187,https://www.gutenberg.org/cache/epub/84/pg84-images.html,"0x068115a83a1153Ed94a3aaf96BC6a9FDF9D980Ce","Gothic, horror, science",https://arweave.net/73OclxxkHclFotTpqy0VlMDE-s3fMfdWlf-SvPVjbg8
"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Pride and Prejudice,Project Gutenberg,"Austen, Jane",en,Public domain in the USA.,"1998-06-01",62,124006,https://www.gutenberg.org/cache/epub/1342/pg1342-images.html,"0x7982fa0036d782b57e438e6949fcf335ee228354","romance, social satire, comedy of manners",https://arweave.net/MvPvZ0sWSMknesfE3ES0PbCqDqjZge_KVXYBtPk7_E0
